70998.3 89.9192	390.031	311.479	-0.052626	-0.771959	0.631783	0.046481	89.9294	389.973	311.441	0.0554511	0.770326	-0.633521	-0.0466343	0.153288	-1.4351	2.51997	0.120442	0.230103	0.157702	1.06476	0.0575324	-2.70115	0.0193969	-0.00330542	-0.0056994	0.869583	-0.421391	-0.0352135	90.7887	389.61	311.444	-0.052626	-0.771959	0.631783	0.046481	
71000.3 89.9192	390.031	311.483	-0.052523	-0.772015	0.631724	0.046479	89.9428	389.968	311.45	0.0553019	0.770408	-0.633431	-0.0466716	0.715095	-1.12629	2.14025	0.106263	0.174746	-0.0183877	0.92773	-0.541862	-2.28173	0.0193127	-0.0040586	-0.00608067	0.908208	-0.429508	-0.0473748	90.8274	389.602	311.435	-0.052523	-0.772015	0.631724	0.046479	
71002.3 89.9192	390.031	311.486	-0.052419	-0.77207	0.631664	0.046478	89.9428	389.968	311.45	0.0553019	0.770408	-0.633431	-0.0466716	0.864037	-0.880126	2.00503	0.100983	0.167178	-0.0826697	0.736711	-0.731591	-2.11267	0.0188548	-0.00511593	-0.00627298	0.945918	-0.43974	-0.0599208	90.8651	389.591	311.426	-0.052419	-0.77207	0.631664	0.046478	
71004.4 89.9192	390.031	311.49	-0.052316	-0.772126	0.631605	0.046476	89.9528	389.95	311.46	0.0551673	0.770534	-0.633286	-0.0467077	0.597355	-0.878167	2.03946	0.0960445	0.183419	0.00372949	0.678815	-0.470355	-2.14601	0.018327	-0.00554504	-0.00644906	0.982572	-0.45083	-0.0728189	90.9017	389.58	311.417	-0.052316	-0.772126	0.631605	0.046476	
71006.3 89.9192	390.031	311.494	-0.052213	-0.772182	0.631545	0.046474	89.9528	389.95	311.46	0.0551673	0.770534	-0.633286	-0.0467077	0.206404	-0.898316	1.70299	0.0521509	0.182739	0.101244	0.670444	-0.0742307	-1.81514	0.0178352	-0.005139	-0.00636934	1.01824	-0.461108	-0.0855576	90.9374	389.57	311.408	-0.052213	-0.772182	0.631545	0.046474	
71008.3 89.9192	390.031	311.497	-0.05211	-0.772238	0.631486	0.046472	89.968	389.934	311.471	0.0550173	0.770643	-0.633165	-0.046745	0.0434684	-0.562016	1.31782	0.00325456	0.148502	0.0568339	0.367241	0.031608	-1.38511	0.0167861	-0.00456188	-0.00601889	1.05181	-0.470232	-0.0975954	90.971	389.561	311.4	-0.05211	-0.772238	0.631486	0.046472	
71010.3 89.9192	390.031	311.501	-0.052007	-0.772293	0.631426	0.04647	89.968	389.934	311.471	0.0550173	0.770643	-0.633165	-0.046745	-0.0958977	-0.441173	1.48273	0.000726119	0.103556	0.0149049	0.199549	0.140888	-1.53057	0.0155066	-0.00382392	-0.00583549	1.08283	-0.47788	-0.109266	91.002	389.553	311.392	-0.052007	-0.772293	0.631426	0.04647	
71012.3 89.9192	390.031	311.505	-0.051904	-0.772349	0.631366	0.046468	89.9906	389.924	311.484	0.0548401	0.770732	-0.633069	-0.0467858	-0.474248	-0.449524	1.88227	0.0215118	0.0466317	0.0352692	0.0778821	0.504117	-1.92607	0.0141117	-0.00243329	-0.00595244	1.11105	-0.482746	-0.121171	91.0302	389.548	311.384	-0.051904	-0.772349	0.631366	0.046468	
71014.3 89.9192	390.031	311.508	-0.051801	-0.772405	0.631307	0.046466	89.9906	389.924	311.484	0.0548401	0.770732	-0.633069	-0.0467858	-0.893762	-0.467649	1.92558	0.01758	0.0219809	0.0348802	0.00793159	0.918046	-1.9704	0.0127164	-0.00035387	-0.00607555	1.13648	-0.483454	-0.133322	91.0556	389.548	311.375	-0.051801	-0.772405	0.631307	0.046466	
71016.3 89.9192	390.031	311.512	-0.051697	-0.77246	0.631247	0.046464	90.0168	389.909	311.491	0.0546688	0.77084	-0.632949	-0.0468235	-1.10885	-0.357282	1.99768	-0.00715056	0.0101897	0.0404318	-0.15117	1.10662	-2.02496	0.0111424	0.00189475	-0.00621042	1.15877	-0.479665	-0.145743	91.0779	389.551	311.366	-0.051697	-0.77246	0.631247	0.046464	
